id,"migration",batch
1,"2014_10_12_100000_create_password_resets_table",1
2,"2016_06_01_000001_create_oauth_auth_codes_table",1
3,"2016_06_01_000002_create_oauth_access_tokens_table",1
4,"2016_06_01_000003_create_oauth_refresh_tokens_table",1
5,"2016_06_01_000004_create_oauth_clients_table",1
6,"2016_06_01_000005_create_oauth_personal_access_clients_table",1
7,"2019_09_16_000004_create_cities_table",1
8,"2019_09_16_000005_create_categories_table",1
9,"2019_12_01_000002_create_settings_table",1
10,"2019_12_01_000003_create_comments_table",1
11,"2019_12_01_000008_create_destinations_table",1
12,"2019_12_01_000009_create_visas_table",1
13,"2019_12_01_062927_create_companies_table",1
14,"2019_12_01_164738_create_languages_table",1
15,"2019_12_01_171442_create_currencies_table",1
16,"2019_12_07_000001_create_media_table",1
17,"2019_12_07_000002_create_countries_table",1
18,"2019_12_07_000003_create_experiences_table",1
19,"2019_12_07_000004_create_employers_table",1
20,"2019_12_07_000005_create_agents_table",1
21,"2019_12_07_000006_create_permissions_table",1
22,"2019_12_07_000007_create_industries_table",1
23,"2019_12_07_000008_create_users_table",1
24,"2019_12_07_000009_create_roles_table",1
25,"2019_12_07_000010_create_industry_user_pivot_table",1
26,"2019_12_07_000011_create_role_user_pivot_table",1
27,"2019_12_07_000012_create_agent_country_pivot_table",1
28,"2019_12_07_000013_create_agent_industry_pivot_table",1
29,"2019_12_07_000014_create_agent_user_pivot_table",1
30,"2019_12_07_000015_create_permission_role_pivot_table",1
31,"2019_12_07_000016_create_country_employer_pivot_table",1
32,"2019_12_07_000017_create_agent_employer_pivot_table",1
33,"2019_12_07_000018_create_employer_industry_pivot_table",1
34,"2019_12_07_000019_add_relationship_fields_to_users_table",1
35,"2019_12_07_000020_add_relationship_fields_to_experiences_table",1
36,"2019_12_15_063928_create_nationalities_table",2
37,"2019_12_08_000008_create_users_table",3
38,"2020_01_10_114936_create_locations_table",4
41,"2020_01_16_140740_create_agent_visa_table",5
42,"2020_01_30_000007_create_interviews_table",6
43,"2020_01_30_000010_add_relationship_fields_to_interviews_table",7
