id,"title","created_at","updated_at","deleted_at"
1,"user_management_access",NULL,NULL,NULL
2,"permission_create",NULL,NULL,NULL
3,"permission_edit",NULL,NULL,NULL
4,"permission_show",NULL,NULL,NULL
5,"permission_delete",NULL,NULL,NULL
6,"permission_access",NULL,NULL,NULL
7,"role_create",NULL,NULL,NULL
8,"role_edit",NULL,NULL,NULL
9,"role_show",NULL,NULL,NULL
10,"role_delete",NULL,NULL,NULL
11,"role_access",NULL,NULL,NULL
12,"user_create",NULL,NULL,NULL
13,"user_edit",NULL,NULL,NULL
14,"user_show",NULL,NULL,NULL
15,"user_delete",NULL,NULL,NULL
16,"user_access",NULL,NULL,NULL
17,"country_create",NULL,NULL,NULL
18,"country_edit",NULL,NULL,NULL
19,"country_show",NULL,NULL,NULL
20,"country_delete",NULL,NULL,NULL
21,"country_access",NULL,NULL,NULL
22,"industry_create",NULL,NULL,NULL
23,"industry_edit",NULL,NULL,NULL
24,"industry_show",NULL,NULL,NULL
25,"industry_delete",NULL,NULL,NULL
26,"industry_access",NULL,NULL,NULL
27,"agent_create",NULL,NULL,NULL
28,"agent_edit",NULL,NULL,NULL
29,"agent_show",NULL,NULL,NULL
30,"agent_delete",NULL,NULL,NULL
31,"agent_access",NULL,NULL,NULL
32,"employer_create",NULL,NULL,NULL
33,"employer_edit",NULL,NULL,NULL
34,"employer_show",NULL,NULL,NULL
35,"employer_delete",NULL,NULL,NULL
36,"employer_access",NULL,NULL,NULL
37,"comment_create","2019-12-07 13:16:10","2019-12-07 13:16:10",NULL
38,"comment_edit","2019-12-07 13:16:25","2019-12-07 13:16:25",NULL
39,"comment_show","2019-12-07 13:16:41","2019-12-07 13:16:41",NULL
40,"comment_delete","2019-12-07 13:16:53","2019-12-07 13:16:53",NULL
41,"comment_access","2019-12-07 13:17:05","2019-12-07 13:17:05",NULL
42,"setting_create","2019-12-07 13:17:21","2019-12-07 13:17:21",NULL
43,"setting_edit","2019-12-07 13:17:46","2019-12-07 13:17:46",NULL
44,"setting_show","2019-12-07 13:18:02","2019-12-07 13:18:02",NULL
45,"setting_delete","2019-12-07 13:18:16","2019-12-07 13:18:16",NULL
46,"setting_access","2019-12-07 13:18:46","2019-12-07 13:18:46",NULL
47,"site_setting_access","2019-12-07 13:19:09","2019-12-07 13:19:09",NULL
48,"experience_access","2019-12-07 13:35:27","2019-12-07 13:35:27",NULL
49,"experience_delete","2019-12-07 13:35:57","2019-12-07 13:35:57",NULL
50,"experience_show","2019-12-07 13:36:20","2019-12-07 13:36:20",NULL
51,"experience_edit","2019-12-07 13:36:33","2019-12-07 13:36:33",NULL
52,"experience_create","2019-12-07 13:36:44","2019-12-07 13:36:44",NULL
53,"experience_edit","2019-12-07 13:37:02","2019-12-07 13:37:02",NULL
54,"company_access","2019-12-07 13:39:35","2019-12-07 13:39:35",NULL
55,"company_create","2019-12-07 13:39:48","2019-12-07 13:39:48",NULL
56,"company_edit","2019-12-07 13:39:58","2019-12-07 13:39:58",NULL
57,"company_delete","2019-12-07 13:40:11","2019-12-07 13:40:11",NULL
58,"company_show","2019-12-07 13:40:22","2019-12-07 13:40:22",NULL
59,"city_access","2019-12-07 13:43:30","2019-12-07 13:43:30",NULL
60,"city_delete","2019-12-07 13:43:57","2019-12-07 13:43:57",NULL
61,"city_show","2019-12-07 13:44:13","2019-12-07 13:44:13",NULL
62,"city_edit","2019-12-07 13:44:34","2019-12-07 13:44:34",NULL
63,"city_create","2019-12-07 13:44:47","2019-12-07 13:44:47",NULL
64,"category_access","2019-12-07 13:46:50","2019-12-07 13:46:50",NULL
65,"category_delete","2019-12-07 13:47:08","2019-12-07 13:47:08",NULL
66,"category_show","2019-12-07 13:47:26","2019-12-07 13:47:26",NULL
67,"category_create","2019-12-07 13:48:20","2019-12-07 13:48:20",NULL
68,"visa_access","2019-12-07 13:49:23","2019-12-07 13:49:23",NULL
69,"visa_delete","2019-12-07 13:49:37","2019-12-07 13:49:37",NULL
70,"visa_show","2019-12-07 13:49:55","2019-12-07 13:49:55",NULL
71,"visa_edit","2019-12-07 13:50:09","2019-12-07 13:50:09",NULL
72,"visa_create","2019-12-07 13:51:27","2019-12-07 13:51:46",NULL
73,"destination_access","2019-12-07 13:58:40","2019-12-07 13:58:40",NULL
74,"destination_delete","2019-12-07 13:58:57","2019-12-07 13:58:57",NULL
75,"destination_show","2019-12-07 13:59:12","2019-12-07 13:59:12",NULL
76,"destination_edit","2019-12-07 13:59:27","2019-12-07 13:59:27",NULL
77,"destination_create","2019-12-07 13:59:51","2019-12-07 13:59:51",NULL
78,"partner_access","2020-01-25 16:50:16","2020-01-25 16:50:16",NULL
79,"member_access","2020-01-25 16:50:33","2020-01-25 16:50:33",NULL
80,"member_create","2020-01-26 04:10:08","2020-01-26 04:10:08",NULL
81,"member_edit","2020-01-26 04:10:17","2020-01-26 04:10:17",NULL
82,"member_show","2020-01-26 04:10:29","2020-01-26 04:10:29",NULL
83,"member_delete","2020-01-26 04:10:45","2020-01-26 04:10:45",NULL
84,"partner_create","2020-01-26 04:11:10","2020-01-26 04:11:10",NULL
85,"partner_edit","2020-01-26 04:11:18","2020-01-26 04:11:18",NULL
86,"partner_show","2020-01-26 04:11:25","2020-01-26 04:11:25",NULL
87,"partner_delete","2020-01-26 04:11:34","2020-01-26 04:11:34",NULL
88,"share_experience","2020-01-28 08:35:17","2020-01-28 08:35:17",NULL
89,"interview_access","2020-01-30 09:02:16","2020-01-30 09:02:16",NULL
90,"interview_show","2020-01-30 09:02:32","2020-01-30 09:02:32",NULL
91,"interview_create","2020-01-30 09:02:41","2020-01-30 09:02:41",NULL
92,"interview_edit","2020-01-30 09:02:51","2020-01-30 09:02:51",NULL
93,"interview_delete","2020-01-30 10:51:35","2020-01-30 10:51:35",NULL
